년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2021,태백골김치,산업단지 및 공장지역,공장용지,3지역,4598,0.15m,0.25,20.7,0,0.08,30,0,77.1,13.3,411,,,0,0,0,0,0,0,94,0,0,,0,8.3
2021,태백초등학교,어린이 놀이시설지역,학교용지,[어린이놀이시설(실외설치)] 1지역,14190,0.15m,0.25,19.6,0,0,13.1,0,115.1,5.1,,,,0,,,,,,,,,,,9.7
2021,동점초등학교,어린이 놀이시설지역,학교용지,[어린이놀이시설(실외설치)] 1지역,20783,0.15m,0.1,16.3,0,0.03,7.9,0,44.8,9,,,,0,,,,,,,,,,,8.8
2021,함태초등학교,어린이 놀이시설지역,학교용지,[어린이놀이시설(실외설치)] 1지역,8644,0.15m,0.25,5.3,0,0.04,10.3,0,55.9,2.4,,,,0,,,,,,,,,,,8.8
2021,태백 스마트 농업단지 조성,토지개발지역,임야,2지역,96013,0.15m,0,7.4,0,0.08,6.6,0,32.1,4.9,,,,0,,,,,,,,,,,7.3
2021,태백산국립공원 사무소 신축공사,토지개발지역,전,1지역,3306,0.15m,0.15,32.8,0,0.03,12.9,0,47.5,70.9,,0,,0,,,,,,,,,,,5.1
2021,백두자동차공업사,교통관련시설지역,대지(2지역),2지역,341.88,표토,0.2,1.9,0,0.01,7.9,0,41.8,2.7,197,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5
2021,성은자동차공업사,교통관련시설지역,대지(2지역),2지역,291.14,표토,0.39,10.5,0,0.06,17.4,0,120.4,7.3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6
2021,영랑초등학교,어린이 놀이시설지역,학교용지,1지역,10806.2,표토,0.21,15.5,0,0,17.5,0,59.4,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3
2021,교동초등학교,어린이 놀이시설지역,학교용지,1지역,9976.2,표토,0.14,3.4,0,0,11.7,0,42.2,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3
2021,청대초등학교,어린이 놀이시설지역,학교용지,1지역,11842.3,표토,0.18,4.2,0,0,11.6,0,41.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2021,조양초등학교,어린이 놀이시설지역,학교용지,1지역,7415.25,표토,0.28,4.4,0,0,10.4,0,44.6,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2
2021,소야초등학교,어린이 놀이시설지역,학교용지,1지역,8230.71,표토,0.16,0,0,0,10.6,0,23.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2
2021,중앙초등학교,어린이 놀이시설지역,학교용지,1지역,6069.89,표토,0.24,3.9,0,0.01,13.9,0,54.3,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7
2021,반얀트리 그룹 카시아 속초 신축공사,토지개발지역,대지(2지역),2지역,120560,표토,0.18,0,0,0,11.8,0,35.5,1.2,172,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8
